Question_ID,User_ID,User_Reputation,User_Type,Gold_Badges,Silver_Badges,Bronze_Badges,Has_Custom_Avatar,Accept_Rate,Tags,Tag_Count,Creation_Date_Readable,Post_Age_Days,Has_Image,Word_Count,Code_Block_Count,Link_Count,Title_Word_Count,LaTeX_Comment_Count,Is_Question_Format,Subjective_Score,Up_Vote_Count,Down_Vote_Count,Favorite_Count,View_Count,Is_Answered,Objective_Comment_Count,Objective_Total_Comment_Words,Objective_Avg_Comment_Words,Objective_Time_To_First_Answer_Mins,Answer_Count,Has_Accepted_Answer,Max_Answer_Score,Avg_Answer_Score,Total_Answer_Words,Link
246,60,21238,registered,7,30,28,False,75.0,"include, input",2,2010-07-27 03:55:34,5861.35,False,43,0,0,7,0,True,1567,1569,2,0,1016105,True,2,25,12.5,647474.02,7,False,464,233.0,645,https://tex.stackexchange.com/questions/246/when-should-i-use-input-vs-include
823,35,23407,registered,17,46,32,True,82.0,"hyperref, color, boxes, links",4,2010-08-02 19:40:11,5854.69,False,32,0,1,8,0,False,1176,1176,0,0,650276,True,1,57,57.0,314.92,8,False,494,494.0,34,https://tex.stackexchange.com/questions/823/remove-ugly-borders-around-clickable-cross-references-and-hyperlinks
9363,1744,15055,registered,4,33,44,False,72.0,symbols,1,2008-11-02 05:06:40,6493.26,False,80,0,0,12,0,True,1086,1088,2,0,2876438,True,3,40,13.33,249.1,10,True,1106,721.5,373,https://tex.stackexchange.com/questions/9363/how-does-one-insert-a-backslash-or-a-tilde-into-latex
1319,564,8541,registered,18,54,56,False,96.0,"typography, big-list, examples",3,2010-08-08 03:51:47,5849.35,False,109,0,1,9,0,False,1029,1029,0,0,421323,True,0,0,0.0,956507.07,101,False,272,54.5,1080,https://tex.stackexchange.com/questions/1319/showcase-of-beautiful-typography-done-in-tex-friends
8351,83,92989,registered,27,266,297,False,90.0,"macros, catcodes",2,2011-01-05 22:29:52,5698.53,False,16,0,0,6,0,True,1014,1014,0,0,284119,True,3,37,12.33,,1,False,0,0.0,0,https://tex.stackexchange.com/questions/8351/what-do-makeatletter-and-makeatother-do
2441,375,14229,registered,10,41,33,False,85.0,"tables, line-breaking",2,2010-08-28 03:10:34,5829.38,False,87,1,1,11,0,False,962,963,1,0,1380570,True,0,0,0.0,1949364.62,24,True,781,391.0,216,https://tex.stackexchange.com/questions/2441/how-to-add-a-forced-line-break-inside-a-table-cell
74353,19100,13229,registered,8,26,20,False,100.0,spacing,1,2012-09-25 01:18:41,5070.46,False,38,0,0,7,0,True,956,956,0,0,1735529,True,1,11,11.0,,1,False,0,0.0,0,https://tex.stackexchange.com/questions/74353/what-commands-are-there-for-horizontal-spacing
339,183,6789,registered,10,29,17,False,,"editors, big-list, ide, resources",4,2010-07-27 13:50:20,5860.94,False,179,0,57,2,0,False,951,955,4,0,753251,True,1,78,78.0,55.22,59,False,370,113.83,1071,https://tex.stackexchange.com/questions/339/latex-editors-ides
94889,213,240876,moderator,88,700,848,False,79.0,latex-misc,1,2013-01-22 19:20:06,4950.67,False,167,0,2,11,0,True,817,819,2,0,81134,True,2,50,25.0,63.87,35,False,268,135.0,485,https://tex.stackexchange.com/questions/94889/how-can-i-explain-the-meaning-of-latex-to-my-grandma
503,9,16520,registered,10,41,38,True,85.0,"math-mode, equations, syntax",3,2010-07-28 21:33:25,5859.61,False,69,0,0,10,0,True,808,808,0,0,309989,True,5,135,27.0,,8,False,0,0.0,0,https://tex.stackexchange.com/questions/503/why-is-preferable-to
14,39,10541,registered,5,27,15,False,,symbols,1,2010-07-26 22:28:45,5861.58,False,32,0,0,17,0,True,758,759,1,0,292974,True,2,107,53.5,3.43,19,True,895,268.5,484,https://tex.stackexchange.com/questions/14/how-to-look-up-a-symbol-or-identify-a-letter-from-a-math-alphabet-or-other-chara
2099,711,18888,registered,19,66,78,False,87.0,"graphics, svg",2,2010-08-20 20:16:57,5836.67,False,105,0,0,7,0,True,747,747,0,0,857938,True,4,114,28.5,1110693.33,24,True,236,74.5,1318,https://tex.stackexchange.com/questions/2099/how-to-include-svg-diagrams-in-latex
39017,5239,98057,registered,19,280,443,False,98.0,"floats, positioning",2,2011-12-21 14:53:12,5348.85,False,36,0,0,14,0,True,745,745,0,0,492732,True,2,80,40.0,,2,False,0,0.0,0,https://tex.stackexchange.com/questions/39017/how-to-influence-the-position-of-float-environments-like-figure-and-table-in-lat
3587,Unknown,0,does_not_exist,0,0,0,True,,bibtex,1,2010-09-29 20:13:11,5796.67,False,45,0,1,10,0,True,701,701,0,0,2201728,True,1,26,26.0,1132.33,8,True,850,425.0,541,https://tex.stackexchange.com/questions/3587/how-can-i-use-bibtex-to-cite-a-web-page
8625,2755,8499,registered,7,28,20,False,100.0,"floats, positioning, captions",3,2011-01-10 12:54:40,5693.93,False,68,1,0,5,0,False,695,695,0,0,2313414,True,2,77,38.5,6515413.32,6,False,1,1.0,23,https://tex.stackexchange.com/questions/8625/force-figure-placement-in-text
25701,4012,56727,registered,34,174,237,False,93.0,"bibliographies, biblatex, bibtex, natbib, biber",5,2011-08-15 02:12:36,5477.42,False,135,0,3,7,0,False,691,691,0,0,303184,True,2,12,6.0,2414000.1,7,False,54,54.0,10,https://tex.stackexchange.com/questions/25701/bibtex-vs-biber-and-biblatex-vs-natbib
595,32,22644,registered,13,55,41,False,86.0,"fonts, math-mode, symbols, bold",4,2010-07-29 20:37:33,5858.65,False,52,0,0,7,0,True,677,677,0,0,1969634,True,1,38,38.0,1350712.12,14,False,328,328.0,29,https://tex.stackexchange.com/questions/595/how-can-i-get-bold-math-symbols
1137,223,16338,registered,16,62,91,False,78.0,"packages, installing, document-classes, texmf",4,2010-08-05 16:50:43,5851.81,False,110,0,0,19,0,True,663,663,0,0,669786,True,0,0,0.0,292.87,13,False,243,243.0,194,https://tex.stackexchange.com/questions/1137/where-do-i-place-my-own-sty-or-cls-files-to-make-them-available-to-all-my-te
31091,7576,6701,registered,3,17,6,False,,"spacing, macros",2,2009-02-04 20:47:17,6398.6,False,46,4,0,4,0,False,660,660,0,0,247235,True,0,0,0.0,4292300.2,13,False,16,8.5,684,https://tex.stackexchange.com/questions/31091/space-after-latex-commands
142,93,32669,registered,24,72,90,False,100.0,"lists, numbering, enumerate",3,2010-07-26 23:42:09,5861.52,False,32,0,0,13,0,True,655,656,1,0,750264,True,0,0,0.0,5.78,5,True,789,789.0,59,https://tex.stackexchange.com/questions/142/how-can-i-make-an-enumerate-list-start-at-something-other-than-1
58098,4012,56727,registered,34,174,237,False,93.0,"fonts, math-mode, big-list, latin-modern, computer-modern",5,2012-06-01 12:24:51,5186.0,True,151,0,2,12,0,True,637,637,0,0,1050319,True,0,0,0.0,202.53,6,True,827,431.5,1285,https://tex.stackexchange.com/questions/58098/what-are-all-the-font-styles-i-can-use-in-math-mode
29402,7880,18393,registered,11,68,124,False,90.0,"fonts, typography, fun",3,2011-09-25 00:01:33,5436.51,False,224,0,1,15,0,True,592,595,3,0,154325,True,0,0,0.0,,8,False,0,0.0,0,https://tex.stackexchange.com/questions/29402/how-do-i-make-my-document-look-like-it-was-written-by-a-cthulhu-worshipping-madm
47324,9757,30704,registered,43,103,147,False,99.0,superscripts,1,2012-03-09 00:21:48,5270.46,False,52,0,0,4,0,False,591,592,1,0,916644,True,5,197,39.4,,7,False,0,0.0,0,https://tex.stackexchange.com/questions/47324/superscript-outside-math-mode
25249,2693,227255,registered,49,581,896,False,89.0,fonts,1,2011-08-09 00:57:09,5483.47,False,77,0,4,16,0,True,589,589,0,0,382347,True,0,0,0.0,15.47,5,False,494,494.0,615,https://tex.stackexchange.com/questions/25249/how-do-i-use-a-particular-font-for-a-small-section-of-text-in-my-document
1050,86,161292,registered,46,419,794,True,79.0,"macros, starred-version",2,2010-08-04 21:11:14,5852.63,False,48,0,0,7,0,True,588,588,0,0,97455,True,0,0,0.0,,4,False,0,0.0,0,https://tex.stackexchange.com/questions/1050/whats-the-difference-between-newcommand-and-newcommand
158668,42660,1673,registered,4,23,32,True,91.0,"diagrams, 3d, technical-drawing, fun, big-list",5,2014-02-05 10:40:41,4572.03,False,153,0,2,5,0,False,585,586,1,0,203250,True,0,0,0.0,5725463.4,69,False,6,5.5,1966,https://tex.stackexchange.com/questions/158668/nice-scientific-pictures-show-off
80,8,648,registered,5,9,17,False,,"packages, templates, cv",3,2010-07-26 22:57:10,5861.56,False,37,0,0,5,0,False,568,569,1,0,482023,True,0,0,0.0,266124.52,32,False,28,28.0,30,https://tex.stackexchange.com/questions/80/latex-template-for-resume-curriculum-vitae
41681,2694,10277,registered,9,33,37,False,76.0,"best-practices, bold, italic",3,2012-01-20 06:00:16,5319.22,False,34,2,0,5,0,True,564,564,0,0,1399145,True,4,186,46.5,,3,False,0,0.0,0,https://tex.stackexchange.com/questions/41681/correct-way-to-bold-italicize-text
9559,2786,11543,registered,12,35,33,False,92.0,"tikz-pgf, graphics, diagrams, asymptote",4,2011-01-23 19:08:31,5680.67,False,81,0,0,6,0,False,531,532,1,0,187002,True,0,0,0.0,,8,False,0,0.0,0,https://tex.stackexchange.com/questions/9559/drawing-on-an-image-with-tikz
37581,Unknown,0,does_not_exist,0,0,0,True,,"graphics, floats, positioning",3,2011-12-08 13:33:11,5361.91,False,38,0,0,5,0,False,526,527,1,0,2780640,True,2,70,35.0,292.08,4,False,666,666.0,147,https://tex.stackexchange.com/questions/37581/latex-figures-side-by-side
782,14,28103,registered,31,81,81,False,100.0,"document-classes, big-list",2,2010-08-01 22:57:25,5855.56,False,260,0,5,9,0,True,523,525,2,0,1071094,True,2,85,42.5,2709279.3,34,False,9,9.0,43,https://tex.stackexchange.com/questions/782/what-are-the-available-documentclass-types-and-their-uses
12806,510,258210,registered,75,741,805,True,98.0,biblatex,1,2011-03-06 23:10:55,5638.5,False,194,0,1,5,0,False,518,519,1,0,185024,True,0,0,0.0,,1,False,0,0.0,0,https://tex.stackexchange.com/questions/12806/guidelines-for-customizing-biblatex-styles
664,93,32669,registered,24,72,90,False,100.0,"packages, font-encodings",2,2010-07-30 20:37:41,5857.65,False,92,0,1,5,0,True,491,491,0,0,330275,True,2,126,63.0,79.57,2,True,488,488.0,170,https://tex.stackexchange.com/questions/664/why-should-i-use-usepackaget1fontenc
